"vessel_code","datetime","latitude","longitude","power","fuel_consumption","actual_speed_overground","proposed_speed_overground","predicted_fuel_consumption"
"3001","2023-10-06 03:04:00","44.6684417724609","-51.1834182739258","5026.12","16.6425","8.45998","8.65653717871755","15.4400976322591"
"3001","2023-10-06 03:05:00","44.6671524047852","-51.1806221008301","5170.2","17.6375","8.49998","8.59761942159384","17.2130281174555"
"3001","2023-10-06 03:06:00","44.6659393310547","-51.1777687072754","5584.58","19.3202","8.41997","8.62288434505463","18.6556531921029"
"3001","2023-10-06 03:07:00","44.6648254394531","-51.1748695373535","5907.05","20.2475","8.39997","8.25770704802126","18.8078143088147"
"3001","2023-10-06 03:08:00","44.6634941101074","-51.1720695495605","5774.4","19.686","8.49998","8.69560832325369","18.5441095301881"
"3001","2023-10-06 03:09:00","44.6618843078613","-51.1695671081543","5207.46","16.372","8.49998","8.41762163285166","14.8224741447717"
"3001","2023-10-06 03:10:00","44.6601295471191","-51.1672554016113","4901.88","15.7123","8.59998","8.21510634180158","14.231554801017"
"3001","2023-10-06 03:11:00","44.6583557128906","-51.1649436950684","4895.03","15.8655","8.59998","8.49426676593721","14.366670932062"
"3001","2023-10-06 03:12:00","44.6567115783691","-51.1624946594238","4949.68","16.472","8.61998","9.69154742248356","15.792912966013"
"3001","2023-10-06 03:13:00","44.6551742553711","-51.1599197387695","5130.24","16.9808","8.49998","9.02565314974636","15.3823115494102"
"3001","2023-10-06 03:14:00","44.6537551879883","-51.1572151184082","5223.17","16.8287","8.55998","7.91504942700267","15.935762607865"
"3001","2023-10-06 03:15:00","44.6523132324219","-51.1544952392578","5167.96","18.0058","8.65999","8.72710013836622","17.1237646419555"
"19310","2023-10-06 03:15:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 03:16:00","44.6507911682129","-51.1518363952637","5276.38","18.0455","8.63998","7.85103068947792","16.8607011590153"
"3001","2023-10-06 03:17:00","44.6492309570312","-51.1491889953613","5171.44","17.4223","8.79998","9.43840958438814","16.7551320850849"
"3001","2023-10-06 03:18:00","44.6475830078125","-51.1466331481934","5036.77","17.0983","8.79998","9.28267025556415","16.0766819821671"
"3001","2023-10-06 03:19:00","44.6458892822266","-51.1441116333008","4989.25","16.3063","8.85999","8.72014747168869","15.1137365153059"
"3001","2023-10-06 03:20:00","44.6442070007324","-51.1415786743164","4852.04","16.2988","8.83998","9.41492581255734","14.5145872881636"
"3001","2023-10-06 03:21:00","44.6425666809082","-51.1389846801758","4839.56","16.2138","8.83998","8.2510291615501","14.4378608431667"
"3001","2023-10-06 03:22:00","44.641040802002","-51.1362686157227","4923.04","16.4312","8.85999","9.42375930100679","15.3090222705156"
"3001","2023-10-06 03:23:00","44.6394882202148","-51.1335105895996","5033.2","16.5542","8.89999","9.95245295092463","16.6039630299434"
"3001","2023-10-06 03:24:00","44.6380043029785","-51.1307411193848","5209.97","17.3912","8.81998","8.57200517486781","16.9756620753557"
"3001","2023-10-06 03:25:00","44.6365165710449","-51.1279563903809","5349.41","18.2897","8.89999","9.31972443573177","17.1585988443345"
"3001","2023-10-06 03:26:00","44.6349601745605","-51.1252326965332","5355.87","18.115","8.87999","8.70651035178453","17.6072600636631"
"3001","2023-10-06 03:27:00","44.6332702636719","-51.1226387023926","4902.17","15.2967","8.95998","8.89450712483376","15.2048234794289"
"19310","2023-10-06 03:27:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 03:28:00","44.6314926147461","-51.1201553344727","4863.32","15.793","9.01998","10.09642072469","14.7531284730881"
"3001","2023-10-06 03:29:00","44.629810333252","-51.1176071166992","4824.09","16.581","8.85999","9.4853118032217","15.3776046404615"
"3001","2023-10-06 03:30:00","44.628288269043","-51.1149253845215","5088.31","16.8988","8.73998","9.01119245942682","15.7489346399903"
"3001","2023-10-06 03:31:00","44.6268463134766","-51.1121520996094","5154.22","17.2037","8.67998","8.17322557773441","15.937105518207"
"3001","2023-10-06 03:32:00","44.6253547668457","-51.109432220459","5150.16","17.3162","8.77998","8.25938061606139","16.5765220051631"
"3001","2023-10-06 03:33:00","44.6238174438477","-51.1067657470703","5131.44","17.4027","8.67998","8.80329764336348","16.4004639232531"
"3001","2023-10-06 03:34:00","44.6222152709961","-51.1041679382324","5032.41","16.3042","8.83998","8.30845516435802","16.0263177793473"
"3001","2023-10-06 03:35:00","44.6206016540527","-51.1016120910645","4997.77","16.6228","8.73999","9.57481942493468","16.5174621747807"
"3001","2023-10-06 03:36:00","44.6189918518066","-51.0990257263184","5044.79","16.9877","8.59998","7.84135246258229","15.9556815572083"
"3001","2023-10-06 03:37:00","44.6174049377441","-51.0964088439941","4985.69","16.614","8.59998","7.95035316776484","15.3975975321606"
"3001","2023-10-06 03:38:00","44.6158790588379","-51.0938148498535","4956.83","16.4732","8.55998","9.41134928613901","15.0076354578137"
"3001","2023-10-06 03:39:00","44.6143989562988","-51.0911445617676","5223.68","17.7537","8.57998","8.61561937052756","15.8926835827529"
"19310","2023-10-06 03:39:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 03:40:00","44.6129608154297","-51.088436126709","5326.43","19.058","8.59998","7.96743235625327","17.5036539625376"
"3001","2023-10-06 03:41:00","44.6114158630371","-51.0857963562012","5043.88","16.0965","8.63998","8.87405574675649","15.5635456819087"
"3001","2023-10-06 03:42:00","44.6097793579102","-51.0832405090332","5013.42","16.2562","8.69999","7.974438531138","14.964085033536"
"3001","2023-10-06 03:43:00","44.6081504821777","-51.0807037353516","4964.75","15.8782","8.73999","9.10947938896716","15.6723999347538"
"3001","2023-10-06 03:44:00","44.606502532959","-51.0781784057617","4864.87","15.7812","8.79998","8.92701226733625","15.3305571613833"
"3001","2023-10-06 03:45:00","44.6048965454102","-51.0756149291992","4872.27","16.0863","8.65998","9.42654987778515","15.0330183537677"
"3001","2023-10-06 03:46:00","44.6034049987793","-51.072940826416","5116.83","17.6855","8.63998","9.66087711676955","17.3225242657587"
"3001","2023-10-06 03:47:00","44.6019592285156","-51.0702018737793","5154","17.2023","8.69999","9.23335670847446","16.7296559870243"
"3001","2023-10-06 03:48:00","44.6004753112793","-51.067497253418","5175.16","17.6377","8.61998","8.57419887445867","16.5869249444455"
"3001","2023-10-06 03:49:00","44.5989151000977","-51.0648574829102","5168.71","17.1408","8.65999","9.58502019830048","15.3588230064139"
"3001","2023-10-06 03:50:00","44.597282409668","-51.0622825622559","5061.41","16.5538","8.67998","8.6036561101675","16.1858533652499"
"3001","2023-10-06 03:51:00","44.5956268310547","-51.0597381591797","4981.88","17.2777","8.67998","8.12199837137014","15.5568026028574"
"19310","2023-10-06 03:51:00",NULL,NULL,NULL,NULL,NULL,NULL,"0"
"3001","2023-10-06 03:52:00","44.5940284729004","-51.0571632385254","4976.93","16.9873","8.65999","9.70081768166274","15.6404379023239"
"3001","2023-10-06 03:53:00","44.5924873352051","-51.0545234680176","5004.42","16.8788","8.63998","9.46709704194218","16.9149136481807"
"3001","2023-10-06 03:54:00","44.591007232666","-51.0517921447754","5065.73","17.3285","8.71999","9.33322167936712","16.4299994543195"
"3001","2023-10-06 03:55:00","44.5895195007324","-51.0490608215332","5190.9","17.2103","8.77998","8.17623586468398","17.0276033975184"
"3001","2023-10-06 03:56:00","44.5880012512207","-51.0463485717773","5133.52","17.0682","8.79998","9.53999756537378","16.2462930450216"
"3001","2023-10-06 03:57:00","44.5863952636719","-51.0436553955078","4994.08","16.1758","8.87999","8.20892046373337","14.7676188223064"
"3001","2023-10-06 03:58:00","44.584716796875","-51.0410499572754","4887.68","16.2863","8.89999","9.20829568505287","14.534090193361"
